Stock_ID,Pattern,Signals,Win_Rate(%),Avg_Return(%),Max_Drawdown(%),Expected_Value(%)
3017.TW,P04_長下影線放量,26,84.62,24.32,-9.59,19.5
1519.TW,P04_長下影線放量,18,83.33,24.77,-10.71,19.47
2376.TW,P11_多頭排列紅K,45,82.22,25.18,-8.7,19.46
2368.TW,P05_連跌反轉紅K,24,100.0,19.45,-8.23,19.45
9103.TW,P04_長下影線放量,38,47.37,48.61,-12.83,19.34
2498.TW,P08_黃金交叉量增,12,83.33,24.58,-10.97,19.32
6753.TW,P12_多頭回檔,17,82.35,24.88,-15.02,19.26
1727.TW,P08_黃金交叉量增,10,70.0,30.49,-12.59,19.24
6531.TW,P09_量縮後爆量紅K,7,71.43,29.69,-12.9,19.21
9906.TW,P11_多頭排列紅K,44,79.55,25.91,-8.89,19.18
6589.TW,P05_連跌反轉紅K,1,100.0,19.15,-1.8,19.15
6589.TW,P10_組合訊號,1,100.0,19.15,-1.8,19.15
4949.TW,P11_多頭排列紅K,2,50.0,45.25,-17.71,19.13
2486.TW,P11_多頭排列紅K,41,75.61,27.41,-14.38,19.02
4949.TW,P12_多頭回檔,6,50.0,45.03,-11.21,19.01
3661.TW,P06_價量背離,11,72.73,28.74,-23.92,18.99
8028.TW,P08_黃金交叉量增,7,85.71,23.28,-12.67,18.96
3138.TW,P01_量縮價穩,111,76.58,26.88,-12.46,18.95
5258.TW,P06_價量背離,51,92.16,21.15,-9.49,18.94
6196.TW,P09_量縮後爆量紅K,6,83.33,24.05,-10.29,18.87
8996.TW,P10_組合訊號,30,76.67,26.74,-10.59,18.87
1513.TW,P07_RSI超賣量縮,42,95.24,19.97,-7.74,18.69
4722.TW,P08_黃金交叉量增,9,77.78,25.92,-4.47,18.6
2305.TW,P11_多頭排列紅K,30,73.33,27.64,-10.9,18.4
2449.TW,P08_黃金交叉量增,7,85.71,22.55,-10.04,18.33
6442.TW,P08_黃金交叉量增,8,87.5,21.86,-8.31,18.25
2404.TW,P05_連跌反轉紅K,20,95.0,19.52,-6.99,18.19
6531.TW,P07_RSI超賣量縮,51,70.59,28.64,-14.31,18.16
2368.TW,P11_多頭排列紅K,54,81.48,23.87,-12.97,18.15
6531.TW,P11_多頭排列紅K,52,78.85,24.84,-14.87,18.1
7750.TW,P03_均線支撐放量,1,100.0,18.01,-17.3,18.01
6657.TW,P08_黃金交叉量增,2,100.0,18.0,-7.87,18.0
1435.TW,P05_連跌反轉紅K,24,91.67,20.26,-7.9,17.99
6531.TW,P12_多頭回檔,14,85.71,22.14,-14.16,17.98
3450.TW,P09_量縮後爆量紅K,7,85.71,22.14,-5.91,17.98
2368.TW,P06_價量背離,26,88.46,21.23,-9.97,17.97
2301.TW,P09_量縮後爆量紅K,1,100.0,17.94,-6.49,17.94
2363.TW,P02_量增紅K,17,76.47,25.6,-10.9,17.93
7722.TW,P10_組合訊號,1,100.0,17.91,-9.45,17.91
2356.TW,P08_黃金交叉量增,5,80.0,24.13,-5.49,17.91
6591.TW,P08_黃金交叉量增,2,100.0,17.84,-3.94,17.84
3167.TW,P09_量縮後爆量紅K,9,77.78,24.89,-9.37,17.81
4967.TW,P02_量增紅K,20,65.0,31.13,-10.99,17.78
3653.TW,P02_量增紅K,18,88.89,20.86,-10.39,17.76
4763.TW,P09_量縮後爆量紅K,6,66.67,30.03,-16.93,17.69
